"BSGN"	"Fay"	"The Mage"	"Constellation of The Mage with a Prime Aspect of Masser."	
"BSGN"	"Elfborn"	"The Apprentice"	"Constellation of The Apprentice with a Prime Aspect of Masser."	
"BSGN"	"Wombburned"	"The Atronach"	"Constellation of The Atronach with a Prime Aspect of Masser."	
"BSGN"	"Blessed Touch Sign"	"The Ritual"	"Constellation of The Ritual with a Prime Aspect of Masser."	
"BSGN"	"Warwyrd"	"The Warrior"	"Constellation of The Warrior with a Prime Aspect of Masser."	
"BSGN"	"Charioteer"	"The Steed"	"Constellation of The Steed with a Prime Aspect of Masser."	
"BSGN"	"Lady's Favor"	"The Lady"	"Constellation of The Lady with a Prime Aspect of Masser."	
"BSGN"	"Trollkin"	"The Lord"	"Constellation of The Lord with a Prime Aspect of Masser."	
"BSGN"	"Hara"	"The Thief"	"Constellation of The Thief with a Prime Aspect of Secunda."	
"BSGN"	"Mooncalf"	"The Lover"	"Constellation of The Lover with a Prime Aspect of Secunda."	
"BSGN"	"Beggar's Nose"	"The Tower"	"Constellation of The Tower with a Prime Aspect of Secunda."	
"BSGN"	"Star-Cursed"	"The Serpent"	"Constellation of The Serpent."	
"BSGN"	"Moonshadow Sign"	"The Shadow"	"Constellation of The Shadow with a Prime Aspect of Secunda."	
"REGN"	"Bitter Coast Region"	"Bitter Coast Region"	
"REGN"	"Azura's Coast Region"	"Azura's Coast Region"	
"REGN"	"Molag Mar Region"	"Molag Amur Region"	
"REGN"	"Ashlands Region"	"Ashlands Region"	
"REGN"	"West Gash Region"	"West Gash Region"	
"REGN"	"Red Mountain Region"	"Red Mountain Region"	
"REGN"	"Ascadian Isles Region"	"Ascadian Isles Region"	
"REGN"	"Grazelands Region"	"Grazelands Region"	
"REGN"	"Sheogorad"	"Sheogorad Region"	
"REGN"	"Felsaad Coast Region"	"Solstheim, Felsaad Coast Region"	
"REGN"	"Moesring Mountains Region"	"Solstheim, Moesring Mountains"	
"REGN"	"Isinfier Plains Region"	"Solstheim, Isinfier Plains"	
"REGN"	"Hirstaang Forest Region"	"Solstheim, Hirstaang Forest"	
"REGN"	"Brodir Grove Region"	"Solstheim, Brodir Grove Region"	
"REGN"	"Thirsk Region"	"Thirsk Region"	
"REGN"	"Mournhold Region"	"Mournhold Region"	
